ID	title	CategoryID	CategoryName
1	雀巢 脆 脆 鲨 威 化 巧克力 巧克力 味 夹心 20g 24 盒	1	饼干
2	奥 利 奥 原 味 夹心饼干 390g 袋	1	饼干
3	嘉 顿 香 葱 薄饼 225g 盒	1	饼干
4	aji 苏打饼干 酵母 减 盐味 472.5g 袋	1	饼干
5	趣 多多 曲奇 饼干 经典 巧克力 原 味 285g 袋	1	饼干
6	趣 多多 曲奇 饼干 经典 巧克力 原 味 285g 袋 x 2	1	饼干
7	aji 尼 西亚 惊奇 脆 片 饼干 起 士 味 200g 袋	1	饼干
8	格力 高 百 醇 抹 茶 慕 斯 提 拉 米 苏 芝 士 蛋糕 味 48g 3盒	1	饼干
9	奥 利 奥 巧克力 味 夹心饼干 390g 袋	1	饼干
10	趣 多多 巧克力 味 曲奇 饼干 香脆 米粒 味 85g 袋	1	饼干
11	趣 多多 巧克力 味 曲奇 饼干 香脆 米粒 味 85g 袋 x 5	1	饼干
12	aji 尼 西亚 惊奇 脆 片 饼干 200g 袋 4 起 士 味 蔬菜 味 优 格 洋葱味 韩 式 泡菜 味	1	饼干
13	猴 姑 酥 性 饼干 20天 装 960g 盒	1	饼干
14	猴 姑 酥 性 饼干 20天 装 960g 盒 x 2	1	饼干
15	猴 姑 酥 性 饼干 20天 装 960g 盒 x 3	1	饼干
16	卡夫 牛奶 优 冠 酥 性 饼干 纯正 牛奶 味 1kg 盒	1	饼干
17	卡夫 牛奶 优 冠 酥 性 饼干 纯正 牛奶 味 1kg 盒 x 2	1	饼干
18	三 牛 万年青 饼干 528g 袋	1	饼干
19	太平 加 铁 梳 打 饼干 香 葱 口味 400g 袋	1	饼干
20	猴 姑 买 1 送 10 最新 批次 江中 猴 姑 饼干 酥 性 饼干 20天 装 960g 舌尖 上 饼干	1	饼干
21	康 元 提子 饼干 200g 盒	1	饼干
22	太平 梳 打 饼干 奶 盐 口味 400g 袋	1	饼干
23	太平 加 铁 梳 打 饼干 奶 盐 口味 400g 袋 x 3	1	饼干
24	mini6 合 1 系列 饼干 奥 利 奥 原 味 曲奇 45g 优 冠 软 香饼 牛奶 味 64g+ 趣 多多 香醇 咖啡 曲奇 50g+ 趣 多多 巧克力 味 软式 小饼 50g+mini 奥 利 奥 香草 威 化 饼干 45g+ mini 奥 利 奥 金 装 巧克力 味 饼干 55g	1	饼干
25	mixx 柠檬 味 夹心饼干 600g	1	饼干
26	奥 利 奥 原 味 夹心饼干 325g 盒 3片 10包 独立 小包装	1	饼干
27	aji 尼 西亚 惊奇 脆 片 饼干 蔬菜 味 200g 袋	1	饼干
28	格力 高 全 组合装 百 醇 7盒 百 奇 6盒 百 力 滋 11盒 巧 心 柔 3盒 星 奇 3盒 全套 共 30盒	1	饼干
29	趣 多多 软式 甜饼 经典 巧克力 原 味 240g 盒	1	饼干
